STUD_ID,STUD_NAME,MAJR_DESC,CLAS_DESC,STUD_EMAIL,WSP_WRITTEN_LANGUAGES,WSP_SPOKEN_LANGUAGES,WSP_ORGANIZATIONAL_SKILLS,WSP_TECHNICAL_SKILLS,WSP_INTERPERSONAL_SKILLS,WSP_ADDITIONAL_SKILLS,WSP_PREV_WORK,WSP_PREVIOUS_TYPE_OF_WORK,WSP_PREFERRED_TYPE_OF_WORK,DEANS_WARNING,ENRL_TERM,DEAN_WARN,MOBILE_NBR,PROBATION,APPLICATION_DATE,CUM_GPA,STST_DESC,STYP_CODE,STYP_DESC,ENROLLED_IND,REGISTERED_IND,LEVL_CODE,COLL_CODE,TOTAL_CREDIT_HOURS,ASTD_TERM,ATSD_CODE_END_OF_TERM,ASTD_DESC,ASTD_DATE_END_OF_TERM,USAID,MASTER_CARD,UPP_MEPI,GAS,Date Added
1000,Student_0,ECE,Sophomore,student0@example.edu,"EN,AR","EN,FR",Low,Basic,Low,Photoshop,No,,Remote,Yes,Summer25,N,70221484,Yes,2024-01-01,3.74,Graduated,UG,Graduate,N,Y,GR,ART,82,Fall24,GOOD,Probation,2024-06-01,Yes,No,No,Yes,2026-01-26 22:20:26
1001,Student_1,ME,Junior,student1@example.edu,EN,"EN,AR",Low,Advanced,High,Photoshop,Yes,Office,Office,Yes,Spring25,N,70850700,No,2024-01-02,3.66,Active,UG,Undergrad,Y,Y,GR,SCI,88,Spring25,WARN,Probation,2024-06-02,No,No,Yes,No,2026-01-26 22:20:26
1002,Student_2,ME,Senior,student2@example.edu,"EN,FR","EN,FR",High,Advanced,Low,Photoshop,Yes,,Field,No,Summer25,Y,70824701,No,2024-01-03,2.85,Graduated,GR,Undergrad,N,N,UG,SCI,124,Spring25,GOOD,Warning,2024-06-03,Yes,Yes,Yes,Yes,2026-01-26 22:20:26
1003,Student_3,ME,Junior,student3@example.edu,"EN,AR","EN,FR",Medium,Intermediate,Medium,Python,Yes,,Office,No,Summer25,Y,70755753,No,2024-01-04,2.86,Graduated,UG,Graduate,Y,Y,UG,ENG,71,Summer25,WARN,Warning,2024-06-04,No,Yes,Yes,Yes,2026-01-26 22:20:26
1004,Student_4,CSE,Junior,student4@example.edu,"EN,FR","EN,AR,FR",Low,Advanced,Medium,Photoshop,No,Office,Field,Yes,Spring25,N,70673363,Yes,2024-01-05,2.1,Active,UG,Graduate,N,N,GR,ENG,92,Spring25,WARN,Probation,2024-06-05,No,No,No,No,2026-01-26 22:20:26
1005,Student_5,MATH,Freshman,student5@example.edu,EN,"EN,FR",High,Advanced,Medium,Excel,Yes,Field,Remote,No,Spring25,Y,70315878,No,2024-01-06,3.49,Active,GR,Undergrad,Y,Y,GR,ART,126,Fall24,WARN,Probation,2024-06-06,No,No,No,Yes,2026-01-26 22:20:26
1006,Student_6,ME,Freshman,student6@example.edu,"EN,AR","EN,AR,FR",Medium,Intermediate,Medium,Excel,No,Lab,Office,Yes,Summer25,N,70933678,Yes,2024-01-07,3.79,Inactive,UG,Undergrad,N,N,GR,SCI,98,Fall24,GOOD,Good Standing,2024-06-07,Yes,No,No,Yes,2026-01-26 22:20:26
1007,Student_7,ECE,Junior,student7@example.edu,"EN,AR",EN,High,Advanced,High,Photoshop,Yes,Lab,Hybrid,No,Spring25,N,70193531,No,2024-01-08,3.91,Graduated,GR,Graduate,Y,Y,UG,ENG,5,Fall24,WARN,Warning,2024-06-08,Yes,No,Yes,Yes,2026-01-26 22:20:26
1008,Student_8,MATH,Senior,student8@example.edu,EN,"EN,FR",Medium,Intermediate,Low,Photoshop,Yes,Field,Remote,Yes,Spring25,Y,70970746,No,2024-01-09,3.49,Inactive,GR,Graduate,Y,N,UG,ENG,90,Fall24,GOOD,Warning,2024-06-09,No,Yes,No,No,2026-01-26 22:20:26
1009,Student_9,BIO,Junior,student9@example.edu,"EN,AR","EN,FR",High,Intermediate,Medium,Photoshop,Yes,Office,Field,Yes,Summer25,N,70455832,Yes,2024-01-10,3.69,Inactive,UG,Undergrad,N,N,UG,SCI,28,Summer25,PROB,Warning,2024-06-10,Yes,Yes,No,Yes,2026-01-26 22:20:26
1010,Student_10,ECE,Sophomore,student10@example.edu,"EN,AR","EN,AR",Medium,Intermediate,Low,,Yes,Office,Office,Yes,Spring25,Y,70317670,Yes,2024-01-11,3.54,Inactive,GR,Graduate,Y,N,UG,SCI,82,Spring25,WARN,Warning,2024-06-11,No,Yes,No,Yes,2026-01-26 22:20:26
1011,Student_11,ECE,Senior,student11@example.edu,"EN,AR","EN,AR",Low,Basic,Medium,Excel,Yes,,Field,No,Fall24,N,70621938,Yes,2024-01-12,3.61,Graduated,GR,Undergrad,Y,N,UG,ENG,68,Summer25,PROB,Probation,2024-06-12,No,Yes,No,Yes,2026-01-26 22:20:26
1012,Student_12,BIO,Junior,student12@example.edu,"EN,FR","EN,AR",High,Intermediate,Medium,,No,Field,Hybrid,No,Summer25,N,70252673,Yes,2024-01-13,2.83,Inactive,UG,Graduate,N,Y,GR,SCI,80,Spring25,PROB,Warning,2024-06-13,No,No,No,Yes,2026-01-26 22:20:26
1013,Student_13,MATH,Junior,student13@example.edu,"EN,AR","EN,AR",Low,Basic,High,Excel,Yes,,Remote,No,Fall24,N,70886820,Yes,2024-01-14,3.82,Active,GR,Undergrad,N,N,UG,SCI,56,Summer25,PROB,Good Standing,2024-06-14,No,Yes,No,Yes,2026-01-26 22:20:26
1014,Student_14,MATH,Sophomore,student14@example.edu,EN,"EN,FR",Medium,Intermediate,High,,Yes,,Field,Yes,Summer25,Y,70720554,No,2024-01-15,3.07,Inactive,GR,Graduate,Y,N,GR,ENG,127,Fall24,PROB,Warning,2024-06-15,No,No,Yes,No,2026-01-26 22:20:26
1015,Student_15,ECE,Sophomore,student15@example.edu,EN,"EN,FR",High,Intermediate,Medium,Photoshop,Yes,,Hybrid,No,Fall24,N,70442738,Yes,2024-01-16,3.49,Graduated,GR,Undergrad,N,Y,UG,SCI,15,Summer25,WARN,Good Standing,2024-06-16,No,No,Yes,No,2026-01-26 22:20:26
1016,Student_16,ECE,Junior,student16@example.edu,EN,EN,Medium,Basic,Low,Excel,Yes,Office,Office,No,Spring25,N,70210727,No,2024-01-17,3.85,Inactive,UG,Graduate,Y,N,GR,SCI,133,Spring25,WARN,Good Standing,2024-06-17,No,No,No,No,2026-01-26 22:20:26
1017,Student_17,ME,Senior,student17@example.edu,EN,"EN,FR",Low,Intermediate,Medium,Python,No,Field,Office,No,Spring25,Y,70141866,Yes,2024-01-18,2.81,Active,GR,Undergrad,N,Y,UG,ENG,39,Summer25,GOOD,Probation,2024-06-18,No,Yes,Yes,No,2026-01-26 22:20:26
1018,Student_18,CSE,Junior,student18@example.edu,EN,"EN,AR",Medium,Advanced,Medium,Excel,No,Lab,Hybrid,No,Spring25,Y,70301868,Yes,2024-01-19,2.6,Active,GR,Undergrad,Y,Y,GR,ART,47,Fall24,PROB,Good Standing,2024-06-19,Yes,No,No,No,2026-01-26 22:20:26
1019,Student_19,ECE,Junior,student19@example.edu,EN,EN,High,Basic,High,Excel,No,Field,Office,Yes,Summer25,N,70525599,No,2024-01-20,2.7,Graduated,UG,Graduate,Y,N,GR,ART,67,Summer25,WARN,Probation,2024-06-20,No,No,No,No,2026-01-26 22:20:26
